sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
13712 13680 0.498019 -0.138871 9.708983 -0.001676 -0.001730 0.003887 61.606166 8.217358 -97.448608 24.983587
13712 13680 0.478865 -0.148448 9.744898 0.003650 -0.001730 -0.001439 63.742794 7.860081 -98.139732 24.989576
13712 13680 0.498019 -0.141265 9.759263 -0.003807 -0.001730 0.001756 62.852531 9.110548 -99.003639 24.992572
13712 13680 0.517174 -0.136476 9.737715 0.000454 0.000401 0.000691 63.030586 7.502805 -97.448608 25.007547
13696 13680 0.478865 -0.110139 9.776024 -0.007003 -0.000664 0.003887 62.674480 8.574634 -97.103042 24.998561
13696 13680 0.509991 -0.107745 9.759263 -0.001676 -0.001730 0.001756 63.564743 7.681443 -97.621383 25.004552
13712 13680 0.526751 -0.138871 9.768841 -0.002742 -0.001730 0.001756 62.674480 8.217358 -97.448608 25.004552
13696 13680 0.493231 -0.225066 10.003485 -0.009133 0.013184 -0.052573 63.920848 8.038720 -97.621383 25.013538
13616 13680 2.880371 0.217883 7.096776 -0.008068 -0.064581 0.159418 62.674480 8.217358 -96.411918 24.998561
13808 13680 3.059946 -0.079013 8.231685 0.004715 -0.037949 0.117872 62.140323 7.324166 -96.239135 25.016532
13776 13680 2.377563 -0.442950 9.151105 0.020694 -0.030492 0.086979 63.030586 6.073699 -98.139732 25.004552
13760 13680 2.162074 1.498847 9.538986 0.021760 -0.212655 0.032650 62.852531 4.465955 -99.349197 24.995567
13792 13680 2.324888 -1.625746 12.282881 -0.077311 -0.035819 -0.198516 61.606166 3.930041 -98.830856 25.013538
13904 13680 0.457316 2.150103 10.084892 -0.177448 0.101602 -0.403050 61.784217 5.895061 -98.312507 25.031509
13568 13680 1.611380 1.652083 10.671502 0.055849 0.063252 -0.076009 63.386688 12.504674 -98.139732 25.022523
14064 13680 1.309695 -0.907449 10.257284 -0.046418 0.019576 -0.020615 63.208637 13.755143 -96.584701 25.025518
13968 13680 2.310522 0.375909 14.157636 -0.001676 0.069644 0.191376 62.496425 12.683313 -97.966949 25.010543
13936 13680 0.907449 1.865178 10.882202 0.049457 -0.289356 0.060347 64.098899 10.361017 -97.448608 25.025518
14208 13680 2.140525 -1.216316 8.466329 -0.027243 -0.064581 -0.089858 64.098899 12.504674 -97.794166 25.010543
14224 13680 1.474903 0.634496 11.631625 -0.018721 0.115451 -0.197451 63.208637 10.896931 -98.658073 25.022523
14192 13680 2.104610 -0.124505 9.950810 -0.092225 0.029163 0.379931 62.674480 13.933780 -99.521980 25.028514
14048 13680 1.738279 -1.137304 3.514867 -0.176383 0.072840 1.038275 63.564743 7.681443 -95.893577 25.034503
13840 13680 -0.067041 14.964524 18.931917 -0.003807 -1.139449 -0.091988 56.976799 -0.714553 -97.448608 25.025518
13920 13680 3.557965 -2.312917 11.358672 0.541617 -0.271246 -0.917581 55.908485 4.644593 -100.904228 25.022523
13808 13680 3.840495 0.555483 11.674723 -0.378786 -0.385231 0.769824 50.388858 0.535915 -100.731445 25.040494
13888 13680 3.115015 1.225894 11.535852 -0.371329 0.726922 0.213747 48.074176 8.931911 -104.705413 25.031509
13840 13680 1.834052 -0.371120 0.390275 0.762130 0.308267 -0.463771 63.742794 13.933780 -96.066352 25.040494
13648 13680 2.954596 -0.691960 20.545692 0.293406 -1.226802 0.139178 56.264591 7.860081 -100.213104 25.034503
13712 13680 3.672893 0.718297 14.267775 -1.331147 0.228371 0.361821 47.718070 -2.143658 -101.595352 25.010543
13856 13680 3.490924 -0.502808 12.400203 -0.079442 -0.009187 0.182854 52.525485 18.757011 -102.459259 25.025518
13888 13680 3.124593 0.775761 12.979629 0.892094 -0.270180 0.218008 49.854698 -0.357276 -101.595352 25.028514
13600 13680 3.160507 2.166863 8.772803 0.389282 -0.191350 -0.128208 41.130126 -12.326037 -94.511322 25.028514
13744 13680 2.533195 0.713508 4.929913 0.201792 0.143148 -0.575626 46.471702 -16.613353 -92.092384 25.055471
13712 13680 2.741501 0.395063 9.416875 -0.058136 0.017445 -0.605454 56.086536 -9.110548 -93.474639 25.055471
13808 13680 3.522050 -0.373515 12.644424 -0.149751 -0.337293 -0.270955 57.332904 -3.930041 -94.338539 25.034503
13808 13680 4.350486 0.488442 14.452138 -0.727133 -0.134890 -0.230475 50.923015 6.788252 -102.632041 25.040494
13776 13680 3.107832 -1.747856 9.831093 0.497940 -0.002795 -0.267760 52.347434 13.576504 -102.977600 25.019527
13936 13680 2.763050 0.617735 10.025033 -0.506619 0.102668 0.459827 51.279121 8.217358 -101.940917 25.037500
13648 13680 2.844457 0.732663 6.067216 0.087807 0.327442 -0.323154 55.374328 24.116157 -100.731445 25.043489
13856 13680 4.111054 -0.035915 13.470465 -0.034700 -0.502412 0.117872 55.374328 16.970628 -101.422569 25.055471
13760 13680 3.524445 0.483653 9.378566 -0.650432 0.081362 0.110415 47.005859 26.438453 -101.595352 25.064456
13904 13680 3.440643 0.402246 11.169521 0.633231 -0.033688 0.409759 49.498596 26.081178 -101.249794 25.040494
13744 13680 3.002482 0.004789 8.940405 0.966664 -0.206264 0.146635 50.744960 20.900669 -102.113700 25.034503
13648 13680 3.557965 0.395063 8.073660 -0.108205 0.115451 0.239314 51.101066 9.467825 -103.495948 25.058465
13696 13680 3.083889 1.048714 6.929173 0.472373 0.618264 0.112546 57.154853 4.823232 -99.003639 25.043489
13744 13680 2.616996 1.235471 4.980193 0.925118 0.154867 -0.465902 66.235527 -8.217358 -86.045043 25.052474
14032 13680 3.500501 -0.756606 15.436205 -0.143359 -0.647290 -0.698133 69.796577 2.143658 -89.500671 25.043489
14080 13680 4.594707 0.339994 21.941581 0.161311 -0.857150 -0.051508 55.374328 4.465955 -99.349197 25.052474
14080 13680 1.956162 1.788560 9.687434 -0.126314 -0.153000 -0.593735 46.649753 6.430975 -102.977600 25.055471
14016 13680 2.090245 -1.630534 9.596450 0.194335 -0.236091 -0.849403 47.183914 9.467825 -103.841506 25.061460
14048 13680 2.892343 -0.237038 12.673156 -0.464008 -0.256332 -0.099445 41.664283 11.432846 -104.705413 25.052474
14224 13680 2.174046 -0.656045 11.856692 -0.203015 -0.242483 -0.224083 37.391025 22.151138 -104.705413 25.049480
14192 13680 1.759828 -1.527578 14.969312 0.040935 -0.266985 -0.390267 28.844505 27.867559 -101.940917 25.052474
14352 13680 2.492491 -0.294502 16.374780 -0.004872 -0.320249 0.120003 22.968772 19.114288 -102.804824 25.055471
14064 13680 1.810109 1.192373 13.008361 -0.288237 -0.061385 -0.752462 17.805250 22.151138 -99.176414 25.058465
14288 13680 1.096600 -2.262636 2.968961 -0.080507 0.047273 -0.503187 12.463675 15.720163 -97.103042 25.040494
14176 13680 1.166036 -0.672805 6.941144 -0.582254 -0.034753 0.058216 12.107570 4.287317 -95.720794 25.052474
14112 13680 1.824475 -1.036742 11.612470 -0.971082 -0.048602 -0.403050 11.039256 19.292926 -95.720794 25.055471
14096 13680 2.260241 -1.302512 12.000350 0.216706 -0.193480 0.135982 5.163523 20.186117 -92.437950 25.055471
13920 13680 2.114188 -1.051108 9.316314 -0.908230 -0.131694 -0.148448 3.739103 27.331645 -86.908950 25.064456
14064 13680 3.062340 -1.477298 12.268515 0.159181 -0.225439 0.207356 0.890262 29.475303 -78.961013 25.061460
14000 13680 2.511646 -0.215489 9.984331 -0.289302 -0.204133 0.377800 6.053785 40.014957 -69.458045 25.049480
13904 13680 2.746289 -0.090984 7.477473 0.687560 -0.186023 0.509895 10.148993 43.766361 -72.740890 25.061460
13776 13680 2.743895 0.852379 7.154239 0.559726 0.009988 0.320275 18.339406 43.051807 -84.490013 25.040494
13872 13680 3.000087 0.227461 8.507033 0.068632 -0.049667 0.036911 22.078510 43.587722 -88.809547 25.064456
13856 13680 2.928258 -1.280963 8.983503 0.358388 -0.202003 0.140243 21.188247 43.766361 -86.563385 25.058465
13952 13680 3.220365 1.345610 11.028255 0.015368 -0.037949 0.526940 23.680982 40.908149 -93.474639 25.052474
13744 13680 2.952201 0.122111 8.133518 -0.451225 0.253938 -0.068552 30.803083 49.125507 -84.490013 25.067451
13904 13680 3.201211 -1.154064 9.649125 0.687560 -0.064581 0.279795 30.446977 45.552742 -88.982322 25.055471
14000 13680 3.550782 1.079840 11.997957 -0.567341 -0.095474 0.515222 37.747131 42.873168 -91.228477 25.049480
13872 13680 2.640939 -0.739846 9.187021 -0.015525 -0.141282 -0.080270 41.842338 49.482784 -82.416641 25.052474
13952 13680 3.280223 -1.403074 10.772063 0.559726 -0.312792 0.448109 40.595970 47.517761 -86.390609 25.040494
13920 13680 3.428672 0.287319 9.797573 0.186878 -0.167914 0.463023 47.718070 41.265426 -93.129074 25.046485
13792 13680 2.959384 0.265770 8.947588 0.618317 -0.044341 0.227596 48.964435 32.333515 -96.930259 25.043489
13888 13680 3.368813 0.907449 8.399288 0.149593 -0.017709 0.163679 51.813278 19.828840 -103.150382 25.034503
13792 13680 3.047974 0.895477 8.392105 0.292341 -0.014513 -0.099445 51.635223 16.791992 -104.359855 25.052474
13808 13680 2.937835 0.804493 8.126335 0.207119 0.003597 -0.182537 49.854698 12.147398 -103.668731 25.022523
13728 13680 2.616996 -0.383092 7.065649 -0.131641 0.284831 -0.377484 52.525485 16.613353 -100.731445 25.043489
13600 13680 2.521223 0.246615 8.186193 1.169067 0.119712 -0.326350 56.442642 0.178638 -96.584701 25.034503
13760 13680 2.877977 2.183623 6.371295 -1.168159 0.363662 -0.423291 60.359798 -5.537785 -91.746826 25.034503
14016 13680 1.781377 -0.938575 9.505466 -0.698370 -0.605744 -1.154073 63.742794 29.653942 -91.574043 25.043489
14064 13680 3.883593 -3.373602 20.600761 0.881441 -0.409732 0.048629 38.637393 38.407215 -97.275825 25.046485
14160 13680 2.767838 0.392669 15.364376 -0.666412 -0.420385 0.251032 35.432449 34.119895 -99.003639 25.043489
14112 13680 2.609813 -0.763789 13.444128 -0.261605 -0.286160 -0.188929 27.954242 41.622703 -91.401260 25.028514
13856 13680 2.320100 -1.137304 7.151845 -0.171056 0.138887 0.198833 24.037088 45.195465 -87.600074 25.028514
13840 13680 2.181229 -0.368726 3.603457 -0.142294 0.442492 0.242510 33.473869 48.232315 -86.390609 25.031509
13872 13680 2.506857 -0.876322 5.796658 -0.026178 0.034490 0.277664 43.444808 49.661422 -82.589424 25.034503
13920 13680 3.126987 -0.981673 11.021073 -0.246691 -0.382035 0.499242 49.498596 47.875038 -81.552734 25.019527
13888 13680 3.790215 -0.928998 13.784122 0.309385 -0.726121 0.648382 53.059646 45.731380 -84.662796 25.022523
14016 13680 2.755867 0.787732 9.601239 -0.158273 -0.065647 0.876352 57.689010 35.370365 -93.992980 25.028514
13872 13680 2.827696 0.493231 10.432069 0.337083 -0.289356 0.449174 63.564743 29.832580 -91.746826 25.019527
14016 13680 2.437422 0.770972 11.095296 0.071828 -0.173240 0.339450 60.181743 7.145528 -97.103042 25.013538
14064 13680 2.305734 -0.754212 13.396242 0.313647 -0.274442 -0.070683 56.798748 7.681443 -100.385887 25.016532
14128 13680 2.875583 -0.955335 15.879156 0.362650 -0.293617 0.226531 49.498596 0.357276 -101.595352 25.007547
14032 13680 2.231510 -0.272953 10.858259 -0.267997 -0.219047 -0.030202 43.978965 -4.108679 -101.768135 25.001556
13920 13680 2.746289 -1.278569 12.742591 0.146398 -0.265919 0.160483 37.391025 -1.071829 -102.632041 25.013538
13808 13680 2.789387 -0.043098 9.148712 0.220967 -0.024101 0.273403 28.844505 0.357276 -100.904228 24.992572
13760 13680 2.130948 1.041531 3.493318 0.935770 0.521323 0.059282 30.981134 -8.574634 -99.521980 24.992572
13664 13680 2.281790 0.988856 1.673632 0.005780 0.442492 -0.377484 41.664283 -21.079307 -85.353919 24.995567
13776 13680 2.655305 -0.244221 9.776024 0.192205 -0.226504 -0.562842 55.908485 -19.650201 -79.824920 24.998561
14016 13680 2.626573 -0.366332 13.930175 0.109113 -0.448082 -0.276282 60.893955 -17.506544 -80.516044 24.998561
14080 13680 3.292195 -0.160420 16.542383 0.115504 -0.442756 -0.368961 58.757324 -12.504674 -86.390609 24.989576
14160 13680 2.221932 -0.433373 17.392368 0.171964 -0.486432 -0.523427 59.469535 -8.217358 -90.191795 24.986581
14080 13680 2.066301 -0.277742 12.486398 -0.216863 -0.382035 -0.454184 56.620693 -6.073699 -95.029670 24.983587
14080 13680 1.494058 -0.627313 9.948415 -1.190530 0.082427 -0.371092 55.018222 9.110548 -102.113700 24.974601
14128 13680 1.333638 -1.553916 7.223675 0.048392 0.066448 -0.211300 57.332904 26.795730 -98.485290 24.992572
14224 13680 1.922642 -0.581821 11.059382 -0.218994 -0.192415 0.075261 55.908485 28.224836 -98.139732 24.974601
14240 13680 1.711941 -0.897871 14.215101 -0.183839 -0.288290 -0.073879 49.320541 31.618961 -98.658073 24.968610
14160 13680 2.277002 -0.644073 13.113712 0.023890 -0.252071 -0.038724 41.486232 33.048069 -100.385887 24.992572
13984 13680 1.606591 -0.577032 4.285840 0.108047 0.506409 -0.140991 42.198444 32.333515 -100.731445 24.950639
