sensor_reading pref Accelx Accely Accelz Gyrox Gyroy Gyroz Magx Magy Magz Temperatura(C)
13712 13712 3.727962 0.193940 9.079276 0.003346 -0.001056 0.001000 48.964435 14.469695 -102.804824 23.000778
13712 13712 3.720779 0.177180 9.076882 -0.001980 -0.001056 0.002065 48.964435 13.040590 -103.150382 22.994789
13696 13712 3.727962 0.181969 9.103219 -0.000915 0.000009 0.002065 50.388858 13.755143 -103.495948 22.997783
13696 13712 3.711202 0.196335 9.069699 -0.001980 0.000009 0.002065 48.074176 15.005610 -103.668731 23.000778
13696 13712 3.711202 0.181969 9.093642 0.007607 -0.001056 0.001000 49.320541 14.112419 -104.532630 23.003774
13696 13712 3.749511 0.136476 9.096036 -0.013698 0.000009 0.002065 49.320541 13.040590 -103.495948 23.009763
13696 13712 3.739934 0.198729 9.081670 0.008673 0.000009 0.002065 51.279121 12.504674 -103.323165 23.003774
13680 13712 3.727962 0.177180 9.057727 -0.004111 0.000009 0.003131 50.566909 13.933780 -103.668731 23.012760
13712 13712 3.737539 0.186757 9.067304 -0.004111 -0.001056 0.002065 49.498596 14.648333 -103.668731 23.012760
13696 13712 3.735145 0.158025 9.079276 -0.024351 0.000009 0.002065 50.388858 14.826972 -104.187072 23.018749
13712 13712 3.754300 0.146054 9.038573 -0.006241 0.001075 -0.000065 50.923015 13.576504 -102.632041 23.003774
13728 13712 3.711202 0.189152 9.100825 -0.019025 -0.001056 -0.000065 48.074176 13.219227 -102.632041 23.012760
13680 13712 4.067956 -1.233077 8.526187 0.061937 0.001075 0.003131 49.854698 14.648333 -103.323165 23.015754
13584 13712 3.874016 0.268164 9.352229 -0.030743 0.001075 -0.013914 48.608333 14.469695 -104.187072 23.015754
13808 13712 4.613862 -0.146054 8.815900 -0.035004 0.010662 0.026567 50.923015 13.933780 -102.632041 23.018749
13632 13712 5.356102 1.158853 8.444780 -0.040330 -0.061777 -0.054395 49.676647 14.826972 -104.532630 23.000778
13488 13712 5.748771 -0.158025 7.427192 0.028913 0.121451 0.062786 50.032752 14.469695 -103.495948 23.000778
13872 13712 5.509339 2.628968 9.105613 0.131180 0.213065 0.396219 48.608333 12.683313 -101.422569 23.006769
13504 13712 4.812591 0.897871 7.352968 0.029978 -0.183219 -0.039481 57.332904 7.502805 -99.521980 23.003774
13536 13712 5.078361 -1.407862 9.357017 -0.048852 0.079905 -1.177200 57.154853 14.826972 -100.731445 23.015754
13936 13712 4.589919 -0.356754 9.024207 -0.187339 -0.254593 0.190620 53.237697 13.397866 -102.459259 23.012760
13792 13712 4.424710 2.825302 12.903011 -0.887228 0.098015 0.705151 46.649753 28.582113 -100.558670 23.000778
13952 13712 4.269079 2.822908 2.923469 0.201489 0.368596 0.013783 54.662117 16.256076 -101.768135 23.009763
13744 13712 4.965827 -0.241827 15.474514 -0.087203 -0.772319 -0.246145 55.908485 20.364755 -99.867538 23.030731
13632 13712 4.269079 -0.193940 12.706676 1.467042 -0.150195 -0.474115 36.856868 8.395997 -104.187072 23.015754
13984 13712 3.857255 3.689653 6.119891 -0.783896 -0.581634 -0.158792 41.486232 -23.401605 -81.725517 23.006769
13968 13712 3.227548 -0.296896 9.965176 -2.529891 0.292962 -0.988646 48.074176 15.362886 -102.977600 23.015754
13744 13712 5.298638 -3.629795 11.808805 0.181248 -0.294008 -0.963079 31.693344 47.875038 -86.045043 23.006769
13792 13712 5.542860 -3.126987 10.456012 0.648906 0.280178 -0.076765 16.558881 32.333515 -96.239135 23.012760
13856 13712 3.885987 -0.739846 7.839016 -1.007605 -0.238614 0.076635 24.571245 48.589591 -83.280548 23.018749
13824 13712 3.883593 -0.435767 13.525535 0.393239 -0.260984 0.186359 22.256563 49.482784 -75.505393 23.009763
13792 13712 4.410344 -2.451787 5.238780 1.701404 0.964088 -0.205664 30.625030 22.151138 -102.977600 23.030731
14128 13712 4.913152 1.680815 7.295504 -1.292035 0.116125 -0.203534 46.649753 24.294795 -100.904228 23.012760
13952 13712 4.759915 -1.802926 14.325240 0.955707 -0.162979 -0.608340 35.610500 39.657680 -96.066352 23.027734
14240 13712 4.283445 -1.721519 12.057815 -0.319434 -0.058581 -0.267451 27.776189 32.512153 -99.521980 23.024740
13968 13712 3.038397 -3.138958 1.802926 -1.463545 -0.007448 -0.288756 23.146825 43.230445 -87.772857 23.036720
14208 13712 5.511733 -4.372035 13.906232 0.796980 -0.116106 -0.089549 14.956411 43.587722 -81.207168 23.030731
14288 13712 3.129381 -0.981673 4.652171 -0.838225 -0.054320 0.609275 22.256563 43.409084 -88.636764 23.039716
14320 13712 2.985722 -0.996039 7.760003 0.280319 -0.191741 -0.097006 25.817611 49.840057 -79.306579 23.027734
14032 13712 4.295417 -1.963345 11.456839 0.752239 0.259938 0.224709 23.146825 42.515892 -90.882919 23.015754
14288 13712 2.573898 0.380697 2.145314 -0.035004 0.465537 0.072374 34.898288 35.013088 -100.213104 23.024740
14288 13712 3.162902 -0.859562 9.917289 -0.474965 0.027707 -0.568925 34.186080 46.445934 -89.155105 23.018749
